shift_date,market,utilization_percent
2016-11-20,5-CHI,48.67206
2016-11-20,6-DAL,54.86474
2016-11-20,7-HOU,47.01406
2016-11-20,8-ATL,43.20125
2016-11-20,9-MIA,26.86386
2016-11-19,1-BAY,46.44218
2016-11-19,2-NY,31.24022
2016-11-19,4-LA,38.40231
2016-11-19,5-CHI,55.49487
2016-11-19,6-DAL,38.38931
2016-11-19,7-HOU,54.10528
2016-11-19,8-ATL,33.62214
2016-11-19,9-MIA,23.67845
2016-11-18,1-BAY,42.97326
2016-11-18,2-NY,40.22353
2016-11-18,4-LA,30.9984
2016-11-18,5-CHI,53.19304
2016-11-18,6-DAL,32.54059
2016-11-18,7-HOU,39.86026
2016-11-18,8-ATL,41.6992
2016-11-18,9-MIA,36.28091
2016-11-17,1-BAY,23.41949
2016-11-17,2-NY,33.78273
2016-11-17,4-LA,33.27081
2016-11-17,5-CHI,21.5721
2016-11-17,6-DAL,29.65066
2016-11-17,7-HOU,25.84347
2016-11-17,8-ATL,30.38911
2016-11-17,9-MIA,51.22273
2016-11-16,1-BAY,34.95986
2016-11-16,2-NY,28.7807
2016-11-16,4-LA,32.18988
2016-11-16,5-CHI,32.0024
2016-11-16,6-DAL,37.60989
2016-11-16,7-HOU,40.76341
2016-11-16,8-ATL,48.41224
2016-11-16,9-MIA,35.73414
2016-11-15,1-BAY,32.41492
2016-11-15,2-NY,37.68672
2016-11-15,4-LA,32.22155
2016-11-15,5-CHI,29.34431
2016-11-15,6-DAL,43.91062
2016-11-15,7-HOU,31.21638
2016-11-15,8-ATL,32.28968
2016-11-15,9-MIA,49.29438
2016-11-14,1-BAY,39.75675
2016-11-14,2-NY,27.59855
2016-11-14,4-LA,35.5848
2016-11-14,5-CHI,33.05312
2016-11-14,6-DAL,49.22411
2016-11-14,7-HOU,51.59358
2016-11-14,8-ATL,35.84476
2016-11-14,9-MIA,31.40684
2016-11-13,1-BAY,54.47966
2016-11-13,2-NY,26.85379
2016-11-13,4-LA,40.94027
2016-11-13,5-CHI,46.97845
2016-11-13,6-DAL,62.49511
2016-11-13,7-HOU,54.45414
2016-11-13,8-ATL,48.13925
2016-11-13,9-MIA,34.70436
2016-11-12,1-BAY,54.82867
2016-11-12,2-NY,41.13287
2016-11-12,4-LA,45.41727
2016-11-12,5-CHI,51.39028
2016-11-12,6-DAL,52.7435
2016-11-12,7-HOU,37.61317
2016-11-12,8-ATL,58.84903
2016-11-12,9-MIA,35.28003
2016-11-11,1-BAY,47.96381
2016-11-11,2-NY,44.32939
2016-11-11,4-LA,43.79734
2016-11-11,5-CHI,39.67866
2016-11-11,6-DAL,49.02188
2016-11-11,7-HOU,50.00411
2016-11-11,8-ATL,42.34308
2016-11-11,9-MIA,51.59947
2016-11-10,1-BAY,34.88704
2016-11-10,2-NY,38.39687
2016-11-10,4-LA,38.27395
2016-11-10,5-CHI,35.37926
2016-11-10,6-DAL,38.2947
2016-11-10,7-HOU,29.38797
2016-11-10,8-ATL,31.31601
2016-11-10,9-MIA,36.42984
2016-11-09,1-BAY,37.38056
2016-11-09,2-NY,18.88862
2016-11-09,4-LA,23.827
2016-11-09,5-CHI,30.25992
2016-11-09,6-DAL,30.96083
2016-11-09,7-HOU,23.90618
2016-11-09,8-ATL,25.63307
2016-11-09,9-MIA,25.8601
2016-11-08,1-BAY,37.37888
2016-11-08,2-NY,27.03048
2016-11-08,4-LA,38.4314
2016-11-08,5-CHI,30.95893
2016-11-08,6-DAL,49.69482
2016-11-08,7-HOU,27.61887
2016-11-08,8-ATL,53.22472
2016-11-08,9-MIA,28.79954
2016-11-07,1-BAY,40.89134
2016-11-07,2-NY,34.55245
2016-11-07,4-LA,28.33696
2016-11-07,5-CHI,32.79154
2016-11-07,6-DAL,41.43169
2016-11-07,7-HOU,45.65154
2016-11-07,8-ATL,35.43962
2016-11-07,9-MIA,32.4285
2016-11-06,1-BAY,57.27758
2016-11-06,2-NY,46.88652
2016-11-06,4-LA,27.46408
2016-11-06,5-CHI,48.30073
